"","vapourpres_h09","time"
"647",6.49609375,1981-10-08
"648",10.2763671875,1981-10-09
"649",7.67578125,1981-10-10
"650",8.1064453125,1981-10-11
"651",5.9560546875,1981-10-12
"652",4.1259765625,1981-10-13
"653",9.2060546875,1981-10-14
"654",8.15625,1981-10-15
"655",6.916015625,1981-10-16
"656",6.666015625,1981-10-17
"657",2.7763671875,1981-10-18
"658",7.015625,1981-10-19
"659",7.505859375,1981-10-20
"660",8.67578125,1981-10-21
"661",7.6357421875,1981-10-22
"662",9.9560546875,1981-10-23
"663",9.3056640625,1981-10-24
"664",6.435546875,1981-10-25
"665",3.81640625,1981-10-26
"666",13.236328125,1981-10-27
"667",9.8564453125,1981-10-28
"668",9.345703125,1981-10-29
"669",9.396484375,1981-10-30
"670",7.6357421875,1981-10-31
"671",7.27734375,1981-11-01
"672",3.6767578125,1981-11-02
"673",11.20703125,1981-11-03
"674",12.6767578125,1981-11-04
"675",8.0166015625,1981-11-05
"676",8.5869140625,1981-11-06
"677",7.3671875,1981-11-07
"678",15.216796875,1981-11-08
"679",16.4365234375,1981-11-09
"680",13.2568359375,1981-11-10
"681",10.607421875,1981-11-11
"682",13.3369140625,1981-11-12
"683",12.0869140625,1981-11-13
"684",12.6669921875,1981-11-14
"685",9.466796875,1981-11-15
"686",7.2265625,1981-11-16
"687",7.9169921875,1981-11-17
"688",9.02734375,1981-11-18
"689",9.357421875,1981-11-19
"690",9.626953125,1981-11-20
"691",6.4365234375,1981-11-21
"692",5.5771484375,1981-11-22
"693",10.95703125,1981-11-23
"694",13.9072265625,1981-11-24
"695",10.7568359375,1981-11-25
"696",14.0068359375,1981-11-26
"697",17.2666015625,1981-11-27
"698",11.126953125,1981-11-28
"699",8.0771484375,1981-11-29
"700",11.0068359375,1981-11-30
"701",6.830078125,1981-12-01
"702",9.150390625,1981-12-02
"703",12.740234375,1981-12-03
"704",5.5595703125,1981-12-04
"705",9.26953125,1981-12-05
"706",5.1298828125,1981-12-06
"707",12.91015625,1981-12-07
"708",9.240234375,1981-12-08
