,Group_Code
WAAYAL0003,6
WAAYAL0004,6
WAAYAL0005,6
WAAYAL0006,5
WAAYAL0007,5
WAAYAL0008,5
WAFWAR0001,5
WAFWAR0002,5
WAFWAR0003,5
WAFWAR0004,5
WAFWAR0005,5
WAFWAR0006,5
WAFWAR0007,5
WAFWAR0008,5
WAFWAR0009,5
WAGCOO0001,6
WAGCOO0002,6
WAGCOO0004,6
