"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","grass","shrub","tree","vegetation_type"
"109","NTAFIN0001",0,0,0.266666666666667,0,0,0,5.6,0,0,0,0.3,0,0,2.06666666666667,1.26666666666667,0,0,0,0.166666666666667,7.86666666666667,0.333333333333333,15.8333333333333,1.86666666666667,0.166666666666667,"grass"
"110","NTAFIN0002",0,0,2.53333333333333,0,0.0333333333333333,0,2.43333333333333,0,0,0,6.36666666666667,0,0,0.9,12.8,0,0,0.0333333333333333,13.4666666666667,32.0333333333333,0,41.7333333333333,15.3333333333333,13.5,"grass"
"111","NTAFIN0003",0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,4.13333333333333,0,0,0,13.3666666666667,9.7,0.0666666666666667,10.3666666666667,4.2,13.3666666666667,"tree"
"112","NTAFIN0004",0,0,0.533333333333333,0,0,0.4,2.5,0,0,0,1.93333333333333,0,0,0,35.1666666666667,0,0,0,6.1,12,0.0666666666666667,16.4333333333333,35.7666666666667,6.1,"shrub"
"113","NTAFIN0005",0,0,2.36666666666667,0,0,0,0.333333333333333,0,0,0,0.0333333333333333,0,0,2.76666666666667,8.46666666666667,0,0,0.0333333333333333,2.7,11.0333333333333,0.0666666666666667,14.1666666666667,10.9,2.73333333333333,"grass"
"114","NTAFIN0006",0,0,0.333333333333333,0,0,0,5.03333333333333,0,0,0,1.6,0,0,0.0666666666666667,1.4,0,0,0,0.166666666666667,5.5,0,12.2,1.73333333333333,0.166666666666667,"grass"
"115","NTAFIN0007",0,0,2.86666666666667,0,0,0,2.76666666666667,0,0,0,0,0,0,0,0.9,0,0,0,0.1,8,0,10.7666666666667,3.76666666666667,0.1,"grass"
"116","NTAFIN0008",0,0,0.0333333333333333,0,0,0,0.466666666666667,0,0,0,13.6,0,0,0,2.6,0,0,0,0,16.1333333333333,0.0333333333333333,30.2,2.66666666666667,0,"grass"
"117","NTAFIN0009",0,0,0.3,0,0,0,1.83333333333333,0,0,0,5.5,0,0,0,13.8,0.233333333333333,0,0.0666666666666667,2.66666666666667,3.73333333333333,0.166666666666667,11.0666666666667,14.5,2.73333333333333,"shrub"
"118","NTAFIN0010",0,0,0.866666666666667,0,0,0,6.23333333333333,0,0,0,6.93333333333333,0,0,0,4.56666666666667,0,0,0,0.1,4.86666666666667,0.2,18.0333333333333,5.63333333333333,0.1,"grass"
