"","X","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter","pv_filter_percentile","npv_filter_percentile","bs_filter_percentile"
"88",91,"NSTSYB0004-58493",88.6,11,0.4,NA,4,"NSTSYB0004","2015-11-15","2015-11-26",70.8961281752198,25.4106851868424,2.06968861891432,0.966921119592875,0.157760814249364,0.142493638676845
"89",92,"NSTSYB0005-58501",83.2,16.2,0.6,NA,4,"NSTSYB0005","2015-11-17","2015-11-26",59.8434950254154,29.3511395752105,9.5109753154875,0.853846153846154,0.21025641025641,0.533333333333333
"90",93,"NSTSYB0006-58502",74.5,25.1,0.3,0.1,0,"NSTSYB0006","2015-11-19","2015-11-18",57.7169836572553,32.584889975589,7.99454144926161,0.637142857142857,0.411428571428571,0.442857142857143
"91",94,"NSTSYB0007-58496",80.9,19,0.1,NA,4,"NSTSYB0007","2015-11-20","2015-11-18",54.4131814976182,37.1957665565614,6.77467931547053,0.438330170777989,0.580645161290323,0.464895635673624
"92",95,"NSTSYB0008-58503",69.1,30.4,0.4,0.1,0,"NSTSYB0008","2015-11-21","2015-11-18",47.9386284645704,45.7500796824095,5.03984108607628,0.314503816793893,0.83206106870229,0.230534351145038
"93",96,"NSTSYB0009-57649",78.7,16.5,4.8,NA,4,"NSTSYB0009","2015-11-20","2015-12-04",54.4352118632959,26.1695060187288,13.6906602036788,0.684310018903592,0.0151228733459357,0.756143667296786
"94",97,"NTAARP0001-58422",68.4,28.3,3.3,NA,4,"NTAARP0001","2016-06-02","2016-05-30",60.2148809923895,34.8006593238332,3.2772047761044,0.91304347826087,0.118357487922705,0.18719806763285
"95",98,"NTAARP0002-58423",50,41,9,NA,4,"NTAARP0002","2016-06-02","2016-05-30",39.9135255868942,49.3908585738233,9.4043340044874,0.771393643031785,0.511002444987775,0.262836185819071
"96",99,"NTAARP0003-58424",34.2,40.4,25.4,NA,4,"NTAARP0003","2016-06-03","2016-05-30",36.6257738004974,43.7419794988228,18.271283979176,0.5941893158388,0.336457357075914,0.612933458294283
"97",100,"NTAARP0004-58918",49.2,19.3,10.8,20.7,0,"NTAARP0004","2021-06-06","2021-06-06",42.468227335094,44.3793210143763,11.7637994100825,0.44910941475827,0.466921119592875,0.729007633587786
"98",101,"NTAARP0004-58932",85.5,9.7,4.8,0,0,"NTAARP0004","2018-03-04","2018-03-10",70.8406015424098,26.2895204640521,1.30342915598314,0.983460559796438,0.0368956743002544,0.0572519083969466
"99",102,"NTAARP0005-58919",75.3,21.6,2.7,0.4,0,"NTAARP0005","2021-06-04","2021-06-06",57.7988341379896,38.9559182922283,1.80552577453479,0.913375796178344,0.239490445859873,0.12484076433121
"100",103,"NTAARP0005-58933",76.6,13.6,9.8,0,0,"NTAARP0005","2018-03-23","2018-03-18",56.0915614107171,34.411348481235,8.03392122583178,0.863694267515924,0.0777070063694267,0.605095541401274
"101",104,"NTABRT0001-53616",48.5,33.3,18.2,NA,4,"NTABRT0001","2012-03-19","2012-04-03",15.0290123122245,52.5467381420493,31.2956569947706,0.677696078431373,0.762254901960784,0.275735294117647
"102",105,"NTABRT0001-58861",41,33.8,25.2,NA,4,"NTABRT0001","2020-08-01","2020-07-30",13.5256538678244,46.1898272678928,39.0482639359954,0.606617647058823,0.215686274509804,0.704656862745098
"103",106,"NTABRT0002-53617",61.5,25.7,11.8,1,0,"NTABRT0002","2012-03-21","2012-04-03",15.6639153310781,54.6658801337899,28.5041455413387,0.683107274969174,0.725030826140567,0.272503082614057
