"","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter"
"157","NTAFIN0014-53634",43.4,39,17.6,NA,4,"NTAFIN0014",2011-11-07,2011-11-12,7.63109941001749,50.8079770637393,40.1578441963268
"158","NTAFIN0015-53635",39.5,28.7,31.8,NA,4,"NTAFIN0015",2011-11-08,2011-11-11,29.0793580000967,32.8649286987473,36.6655592601358
"159","NTAFIN0016-53636",29.6,27.8,42.6,NA,4,"NTAFIN0016",2011-11-09,2011-11-11,9.81786131824685,26.1721091086377,62.5476091246122
"160","NTAFIN0017-53637",32.1,31.5,36.4,NA,4,"NTAFIN0017",2011-11-29,2011-11-27,14.1628832694228,30.2992993097228,54.2304161836989
"161","NTAFIN0018-53638",32.1,25,42.9,NA,4,"NTAFIN0018",2011-11-30,2011-11-27,10.6844243218066,41.6192320321515,46.0337075205427
"162","NTAFIN0019-53639",50.9,34.9,14.3,NA,4,"NTAFIN0019",2011-12-01,2011-11-27,9.57474568774734,44.6100271632326,44.3611073523933
"163","NTAFIN0020-53640",49.6,38.4,12,NA,4,"NTAFIN0020",2011-12-07,2011-12-06,6.88293073025942,54.4900923379944,37.1582208426193
"164","NTAFIN0021-53641",12.2,12.2,75.6,NA,4,"NTAFIN0021",2011-12-08,2011-12-06,10.1720127346069,26.7780293692833,61.6614519431194
"165","NTAFIN0022-53642",25.1,13.6,61.3,NA,4,"NTAFIN0022",2011-12-09,2011-12-06,8.1146867580292,40.8190828263523,49.660063002006
"166","NTAFIN0023-53643",39.9,20.2,39.9,NA,4,"NTAFIN0023",2011-12-10,2011-12-06,12.6218234294067,41.4796172351838,44.4360119240858
"167","NTAFIN0024-53644",23.8,48.7,27.5,NA,4,"NTAFIN0024",2012-02-13,2012-02-08,22.1850977325015,39.942322576798,36.3841011929193
"168","NTAFIN0025-53645",32.4,34.7,33,NA,4,"NTAFIN0025",2012-02-14,2012-02-08,8.11544162751472,43.0695902523624,47.5139317081196
"169","NTAFIN0026-53646",41.8,45,13.3,NA,4,"NTAFIN0026",2012-03-14,2012-03-27,16.5324750948656,55.3343788033653,26.9250523318686
"170","NTAFIN0027-53647",27,54,19,NA,4,"NTAFIN0027",2012-03-26,2012-03-27,12.3897582036108,46.6535818412684,39.4642663837651
"171","NTAFIN0028-53746",14.8,22.3,63,NA,4,"NTAFIN0028",2012-09-22,2012-09-19,6.03798523457876,31.2792529967406,61.0802626166312
"172","NTAFIN0029-53747",23.1,28.3,48.6,NA,4,"NTAFIN0029",2012-09-23,2012-09-19,2.4790155664765,42.126250838938,53.8383013271478
"173","NTAFIN0030-53748",45,36.9,18.1,NA,4,"NTAFIN0030",2012-10-24,2012-10-21,4.35197427958973,54.0057209869513,40.2803859865564
"174","NTAFIN0031-53749",16.6,22,61.4,NA,4,"NTAFIN0031",2012-10-25,2012-10-21,0.677235038185267,57.3211516575948,40.8228950197526
"175","NTAFIN0032-53750",38.1,45.7,16.1,NA,4,"NTAFIN0032",2012-11-01,2012-10-21,8.53563796884103,50.3012256396779,39.6485730239773
"176","NTAFIN0033-53751",37.5,36.8,25.6,NA,4,"NTAFIN0033",2012-11-06,2012-10-21,11.1157102645347,42.7467042800994,44.7749837385286
