Label SW,site_location_name,site_location_id,established_date,point,latitude,longitude,threedcq,,,,
,NSAMDD0008,60218,1/06/2014,SE,-33.43095833,141.0731083,825,,,,
NSAMDD0008,NSAMDD0008,60218,1/06/2014,SW,-33.43096111,141.0720306,908,,,,
,NSAMDD0009,60232,1/06/2014,CENTRE,-33.44004722,141.0660472,638,,,,
,NSAMDD0009,60232,1/06/2014,NE,-33.43958611,141.0666028,31,,,,
,NSAMDD0009,60232,1/06/2014,NW,-33.43958611,141.0655278,507,,,,
,NSAMDD0009,60232,1/06/2014,SE,-33.44048611,141.0666,285,,,,
NSAMDD0009,NSAMDD0009,60232,1/06/2014,SW,-33.44049444,141.0655222,288,,,,
,NSAMDD0010,60219,2/06/2014,CENTRE,-33.40714722,141.2940083,740,,,,
,NSAMDD0010,60219,2/06/2014,NE,-33.40669722,141.29455,760,,,,
,NSAMDD0010,60219,2/06/2014,NW,-33.40669722,141.293475,228,,,,
,NSAMDD0010,60219,2/06/2014,SE,-33.40759722,141.29455,844,,,,
NSAMDD0010,NSAMDD0010,60219,2/06/2014,SW,-33.40760278,141.2934722,779,,,,
,NSAMDD0011,60242,2/06/2014,CENTRE,-33.43836111,141.0131806,71,,,,
,NSAMDD0011,60242,2/06/2014,NE,-33.43792778,141.0137556,34,,,,
,NSAMDD0011,60242,2/06/2014,NW,-33.43791944,141.0126667,424,,,,
,NSAMDD0011,60242,2/06/2014,SE,-33.43882222,141.0137472,70,,,,
NSAMDD0011,NSAMDD0011,60242,2/06/2014,SW,-33.43881944,141.012675,988,,,,
,NSAMDD0012,60220,3/06/2014,CENTRE,-33.26271389,141.2667833,255,,,,
,NSAMDD0012,60220,3/06/2014,NE,-33.26226111,141.2673222,817,,,,
,NSAMDD0012,60220,3/06/2014,NW,-33.26226667,141.2662472,794,,,,
,NSAMDD0012,60220,3/06/2014,SE,-33.26316389,141.2673222,859,,,,
