"","site_unique","Andropogoneae","Chloridoideae","non_applicable/no_tribe","latitude","longitude"
"338","QDAGUP0008-53529",0.2,1,58,-19.8016944444444,142.021525
"339","QDAGUP0009-53530",9.4,9.8,30.2,-19.8458694444444,141.960686111111
"340","QDAGUP0010-53479",0.4,0.2,45.3,-19.9148527777778,141.834283333333
"341","QDAGUP0011-53531",3.7,1,57.7,-19.9398194444444,141.827775
"342","QDAGUP0012-53525",8.8,1.8,17,-19.5818527777778,140.311727777778
"343","QDAGUP0013-53532",0.2,20,4.6,-19.297825,140.16375
"344","QDAGUP0014-53480",25.2,12.4,11.8,-18.2388388888889,140.787038888889
"345","QDAGUP0015-53533",28.8,10.2,25.6,-18.2570472222222,140.732569444444
"346","QDAGUP0016-53481",7.5,11.1,45.1,-18.2488555555556,140.748266666667
"347","QDAGUP0017-53568",0,0,50.9,-17.6413777777778,141.086263888889
"348","QDAGUP0018-53482",3.5,9.1,59.5,-17.6605388888889,141.105402777778
"349","QDAGUP0019-53534",0,15.6,14.2,-17.6216583333333,141.073663888889
